Filename,Recognized Text,Average Confidence,Accuracy,Timestamp,Entry Time,Delivery Time,Batch
image01.jpg,Q345C 5567220351 87X4DD2 GB/T 713-2014 18*2200*9000,0.7926138242632442,-100.00%,2024-10-15 23:28:03,2024-10-15,2024-11-14,Q5
image02.jpg,Q235B 7518875398 UISISWY GB/T 713-2014 16*2200*12500,0.7257590418578529,-100.00%,2024-10-15 23:28:04,2024-10-15,2024-11-14,Q5
image03.jpg,Q345R(R-HIC) 0593452708 DCRV18V GB/T 3274-2017 20*1900*10500,0.714321580996935,-100.00%,2024-10-15 23:28:05,2024-10-15,2024-11-14,Q5
image04.jpg,Q235D 0145615113 QK89HAW GB/T 713-2014 16*1900*12500,0.8455568962713896,-100.00%,2024-10-15 23:28:06,2024-10-15,2024-11-14,Q5
image05.jpg,Q235B 0692698216 DIKEZAD GB/T 3274-2017 25*2100*9000,0.9359289216283194,-100.00%,2024-10-15 23:28:07,2024-10-15,2024-11-14,Q5
image06.jpg,Q245R(R-HIC) 9934351511 CXWNNGS GB/T 3274-2017 15*1900*12500,0.7950163858460026,-100.00%,2024-10-15 23:28:08,2024-10-15,2024-11-14,Q5
image07.jpg,Q245A 6727570731 AZJOJE7 GB/T 3274-2017 18*2200*9000,0.7877160506542865,-100.00%,2024-10-15 23:28:09,2024-10-15,2024-11-14,Q5
image08.jpg,Q235C 5317641933 8CZMUEA GB/T 713-2014 20*2200*12500,0.7420965879844967,-100.00%,2024-10-15 23:28:10,2024-10-15,2024-11-14,Q5
image09.jpg,Q245A 3344750555 3TJ2JZ4 GB/T 3274-2017 8*1900*12000,0.6520508016981662,-100.00%,2024-10-15 23:28:11,2024-10-15,2024-11-14,Q5
image10.jpg,Q245A 1391811998 OYJIKIP GB/T 3274-2017 15*2100*7000,0.7742052920995149,-100.00%,2024-10-15 23:28:12,2024-10-15,2024-11-14,Q5
img01.bmp,Q345C 5567220351 87X4DDZ GB/T 713-2014 18*2200*9000,0.6395296263384437,-100.00%,2024-10-15 23:41:47,2024-10-15,2024-11-14,Q6
img01.jpg,UZ Q345R(R-HIC) 3A12497220 ITC A334960 GB/T 713-2014 16*2000*12000,0.646705142386943,-100.00%,2024-10-15 23:41:51,2024-10-15,2024-11-14,Q6
img02.bmp,Q235B 7518875398 UISISWY GB/T 713-2014 16*2200*12500,0.7007187669296296,-100.00%,2024-10-15 23:41:54,2024-10-15,2024-11-14,Q6
img03.bmp,Q345R(R-HIC) 0593452708 DCRV18V GB/T 3274-2017 20*1900*10500,0.5462819999736562,-100.00%,2024-10-15 23:41:56,2024-10-15,2024-11-14,Q6
img04.bmp,Q235D 0145615113 QK89HAW GB/T 713-2014 16*1900*12500,0.738762648841815,-100.00%,2024-10-15 23:41:58,2024-10-15,2024-11-14,Q6
img05.bmp,Q235B 0692698216 DIKEZAD GB/T 3274-2017 25*2100*9000,0.8163398386768055,-100.00%,2024-10-15 23:42:00,2024-10-15,2024-11-14,Q6
img06.bmp,Q24SR(R-HIC) 9934351511 CXWNNGS GB/T 3274-2017 15*190*12500,0.6360560692643451,-100.00%,2024-10-15 23:42:02,2024-10-15,2024-11-14,Q6
img07.bmp,Q245A 6727570731 A2JOJE7 GB/T 3274-2017 18*2200*9000,0.7568178994848375,-100.00%,2024-10-15 23:42:04,2024-10-15,2024-11-14,Q6
img08.bmp,Q235C 5317641933 8CZMUEA GB/T 713-2014 20*2200*12500,0.6223740674564633,-100.00%,2024-10-15 23:42:06,2024-10-15,2024-11-14,Q6
img09.bmp,Q245A 3344750555 3T12124 GB/T 3274-2017 8*190*12000,0.5224750374077806,-100.00%,2024-10-15 23:42:08,2024-10-15,2024-11-14,Q6
img10.bmp,Q245A 1391811998 OYJ1KIP GB/T 3274-2017 15*2100*7000,0.6569353418390942,-100.00%,2024-10-15 23:42:10,2024-10-15,2024-11-14,Q6
image00.jpg,GBFT 733-2943125*2200*12000 A4317 3 0345R 4805832100,0.48426413134332735,-100.00%,2024-10-15 23:42:25,2024-10-15,2024-11-14,Q7
image01.jpg,GBZT73-201425*2200*12000 A431773 0343R 4805832100,0.6061812028725682,-100.00%,2024-10-15 23:42:26,2024-10-15,2024-11-14,Q7
image02.jpg,32 03 35861 1 R-HIS 3 390528 289400 46*2200*12000,0.5206594512938789,-100.00%,2024-10-15 23:42:26,2024-10-15,2024-11-14,Q7
image03.jpg,AB 86 CL392372*29286 2022 50X2 2 YI (2008,0.4913791629339781,-100.00%,2024-10-15 23:42:27,2024-10-15,2024-11-14,Q7
image04.jpg,Q245R(R-HZ XISC C323334 GE97 3532281 3 Z200 34*2500*12000,0.6086897101120744,-100.00%,2024-10-15 23:42:27,2024-10-15,2024-11-14,Q7
image05.jpg,A414837 A537CLPLTV XICC ASTM A5R  /AS37M-20 MT 12*3000*8000  4184465200,0.4264507692851505,-100.00%,2024-10-15 23:42:28,2024-10-15,2024-11-14,Q7
image06.jpg,CG4 MRGH)T 3995596280 8 46*1970*9400,0.48846566007223574,-100.00%,2024-10-15 23:42:29,2024-10-15,2024-11-14,Q7
image00.jpg,GBFT 733-2943125*2200*12000 A4317 3 0345R 4805832100,0.48426413134332735,-100.00%,2024-10-15 23:43:47,2024-10-15,2024-11-14,Q8
image01.jpg,GBZT73-201425*2200*12000 A431773 0343R 4805832100,0.6061812028725682,-100.00%,2024-10-15 23:43:48,2024-10-15,2024-11-14,Q8
image02.jpg,32 03 35861 1 R-HIS 3 390528 289400 46*2200*12000,0.5206594512938789,-100.00%,2024-10-15 23:43:48,2024-10-15,2024-11-14,Q8
image03.jpg,AB 86 CL392372*29286 2022 50X2 2 YI (2008,0.4913791629339781,-100.00%,2024-10-15 23:43:49,2024-10-15,2024-11-14,Q8
image04.jpg,Q245R(R-HZ XISC C323334 GE97 3532281 3 Z200 34*2500*12000,0.6086897101120744,-100.00%,2024-10-15 23:43:49,2024-10-15,2024-11-14,Q8
image05.jpg,A414837 A537CLPLTV XICC ASTM A5R  /AS37M-20 MT 12*3000*8000  4184465200,0.4264507692851505,-100.00%,2024-10-15 23:43:50,2024-10-15,2024-11-14,Q8
image06.jpg,CG4 MRGH)T 3995596280 8 46*1970*9400,0.48846566007223574,-100.00%,2024-10-15 23:43:50,2024-10-15,2024-11-14,Q8
img01.bmp,Q345C 5567220351 87X4DDZ GB/T 713-2014 18*2200*9000,0.6395296263384437,-100.00%,2024-10-15 23:50:14,2024-10-15,2024-11-14,Q9
img01.jpg,UZ Q345R(R-HIC) 3A12497220 ITC A334960 GB/T 713-2014 16*2000*12000,0.646705142386943,-100.00%,2024-10-15 23:50:19,2024-10-15,2024-11-14,Q9
img02.bmp,Q235B 7518875398 UISISWY GB/T 713-2014 16*2200*12500,0.7007187669296296,-100.00%,2024-10-15 23:50:21,2024-10-15,2024-11-14,Q9
img03.bmp,Q345R(R-HIC) 0593452708 DCRV18V GB/T 3274-2017 20*1900*10500,0.5462819999736562,-100.00%,2024-10-15 23:50:23,2024-10-15,2024-11-14,Q9
img04.bmp,Q235D 0145615113 QK89HAW GB/T 713-2014 16*1900*12500,0.738762648841815,-100.00%,2024-10-15 23:50:25,2024-10-15,2024-11-14,Q9
img05.bmp,Q235B 0692698216 DIKEZAD GB/T 3274-2017 25*2100*9000,0.8163398386768055,-100.00%,2024-10-15 23:50:28,2024-10-15,2024-11-14,Q9
img06.bmp,Q24SR(R-HIC) 9934351511 CXWNNGS GB/T 3274-2017 15*190*12500,0.6360560692643451,-100.00%,2024-10-15 23:50:30,2024-10-15,2024-11-14,Q9
img07.bmp,Q245A 6727570731 A2JOJE7 GB/T 3274-2017 18*2200*9000,0.7568178994848375,-100.00%,2024-10-15 23:50:32,2024-10-15,2024-11-14,Q9
img08.bmp,Q235C 5317641933 8CZMUEA GB/T 713-2014 20*2200*12500,0.6223740674564633,-100.00%,2024-10-15 23:50:34,2024-10-15,2024-11-14,Q9
img09.bmp,Q245A 3344750555 3T12124 GB/T 3274-2017 8*190*12000,0.5224750374077806,-100.00%,2024-10-15 23:50:36,2024-10-15,2024-11-14,Q9
img10.bmp,Q245A 1391811998 OYJ1KIP GB/T 3274-2017 15*2100*7000,0.6569353418390942,-100.00%,2024-10-15 23:50:38,2024-10-15,2024-11-14,Q9
img01.bmp,Q345C 5567220351 87X4DDZ GB/T 713-2014 18*2200*9000,0.6395296263384437,97.83%,2024-10-16 19:19:21
img01.jpg,UZ Q345R(R-HIC) 3A12497220 ITC A334960 GB/T 713-2014 16*2000*12000,0.646705142386943,9.26%,2024-10-16 19:19:25
img02.bmp,Q235B 7518875398 UISISWY GB/T 713-2014 16*2200*12500,0.7007187669296296,100.00%,2024-10-16 19:19:27
img03.bmp,Q345R(R-HIC) 0593452708 DCRV18V GB/T 3274-2017 20*1900*10500,0.5462819999736562,100.00%,2024-10-16 19:19:29
img04.bmp,Q235D 0145615113 QK89HAW GB/T 713-2014 16*1900*12500,0.738762648841815,100.00%,2024-10-16 19:19:31
img05.bmp,Q235B 0692698216 DIKEZAD GB/T 3274-2017 25*2100*9000,0.8163398386768055,97.87%,2024-10-16 19:19:33
img06.bmp,Q24SR(R-HIC) 9934351511 CXWNNGS GB/T 3274-2017 15*190*12500,0.6360560692643451,85.45%,2024-10-16 19:19:36
img07.bmp,Q245A 6727570731 A2JOJE7 GB/T 3274-2017 18*2200*9000,0.7568178994848375,100.00%,2024-10-16 19:19:38
img08.bmp,Q235C 5317641933 8CZMUEA GB/T 713-2014 20*2200*12500,0.6223740674564633,100.00%,2024-10-16 19:19:40
img09.bmp,Q245A 3344750555 3T12124 GB/T 3274-2017 8*190*12000,0.5224750374077806,82.98%,2024-10-16 19:19:42
img10.bmp,Q245A 1391811998 OYJ1KIP GB/T 3274-2017 15*2100*7000,0.6569353418390942,100.00%,2024-10-16 19:19:43
plateImg01.jpg,8345R 48063821O8TNB/T476133-1 61/77132-2023 182500*12000 A431835,0.45673961704845745,17.46%,2024-10-16 19:20:04
plateImg02.jpg,GBCT 713-201 2542200120 A431773 0345R 4805832100,0.5192826071897649,27.66%,2024-10-16 19:20:05
plateImg03.jpg,UZ Q345R(R-HIC) 3A12497220 ITC A334960 GB/T 713-2014 16*2000*12000,0.5760431681839798,9.26%,2024-10-16 19:20:09
plateImg04.jpg,23 034842*2300*12000 480603 8389 DB/E V 3S*2200 92 2423494 03458 711507100 J 82,0.2929417565942728,8.70%,2024-10-16 19:20:13
image00.jpg,GBFT 733-2943125*2200*12000 A4317 3 0345R 4805832100,0.48426413134332735,57.45%,2024-10-16 19:20:24
image01.jpg,GBZT73-201425*2200*12000 A431773 0343R 4805832100,0.6061812028725682,21.28%,2024-10-16 19:20:24
image02.jpg,32 03 35861 1 R-HIS 3 390528 289400 46*2200*12000,0.5206594512938789,5.56%,2024-10-16 19:20:25
image03.jpg,AB 86 CL392372*29286 2022 50X2 2 YI (2008,0.4913791629339781,4.08%,2024-10-16 19:20:25
image04.jpg,Q245R(R-HZ XISC C323334 GE97 3532281 3 Z200 34*2500*12000,0.6086897101120744,22.22%,2024-10-16 19:20:26
image05.jpg,A414837 A537CLPLTV XICC ASTM A5R  /AS37M-20 MT 12*3000*8000  4184465200,0.4264507692851505,32.76%,2024-10-16 19:20:26
image06.jpg,CG4 MRGH)T 3995596280 8 46*1970*9400,0.48846566007223574,0.00%,2024-10-16 19:20:27
